Robot,Status,📑 Payload,Current location,Robot Data,License expiration,🏗️ Deployments,Approximate Ready Date,Robot Notes
Spot 18,Ready,Falcon 20 (https://www.notion.so/Falcon-20-1d532e888e42806aab5bd73b95af43ad?pvs=21),Tokyo - JP,"Serial: spot-BD-50060001,
Wi-Fi Password: 3bkipjsh3pir,
Admin Password: 4q9r7w8cj6b3
New Params: Yes","January 8, 2026","Kajima_OC (https://www.notion.so/Kajima_OC-22b32e888e4280f9aab0c223e7ab2f78?pvs=21), Kajima_OC (https://www.notion.so/Kajima_OC-22b32e888e4280f18a26fbd45b00f3b2?pvs=21), Kajima_OC (https://www.notion.so/Kajima_OC-22b32e888e42807791def5599d0033bd?pvs=21), Kajima_OC (https://www.notion.so/Kajima_OC-22b32e888e428018a4c2e95d1bb33f31?pvs=21), Kajima_OC (https://www.notion.so/Kajima_OC-22b32e888e42804bbb73e5a0ef87121d?pvs=21), Kajima_OC (https://www.notion.so/Kajima_OC-22b32e888e4280d4bf56d70470448fb4?pvs=21), Kajima_OC (https://www.notion.so/Kajima_OC-23132e888e42807fac00e9af287dc66e?pvs=21), Kajima_OC (https://www.notion.so/Kajima_OC-23132e888e428049a315c73ee1caec8a?pvs=21), Kajima_OC (https://www.notion.so/Kajima_OC-23232e888e4280828361f0e39bd6e81a?pvs=21), Kajima_OC (https://www.notion.so/Kajima_OC-23232e888e428095b339cdf667e71be2?pvs=21), Kajima_OC (https://www.notion.so/Kajima_OC-23232e888e4280eab484d39a2ca9ffe5?pvs=21), Kajima_OC (https://www.notion.so/Kajima_OC-23432e888e4280138a4df94cecbe348d?pvs=21), Kajima_OC (https://www.notion.so/Kajima_OC-23432e888e428072b3c2fd22fbe6cfec?pvs=21), Kajima_OC (https://www.notion.so/Kajima_OC-23832e888e428044a53aff14ccd452e2?pvs=21), Kajima_OC (https://www.notion.so/Kajima_OC-23832e888e428039ac62cda69f258065?pvs=21), Kajima_OC (https://www.notion.so/Kajima_OC-23832e888e4280a9ae0ee949b1f65a18?pvs=21), Kajima_OC (https://www.notion.so/Kajima_OC-23e32e888e4280a6a0dddcaa28b6c279?pvs=21), Kajima_OC (https://www.notion.so/Kajima_OC-23e32e888e4280119ec2e1bcfb1a91aa?pvs=21), Kajima_OC (https://www.notion.so/Kajima_OC-23e32e888e4280a4bb8bef8566396258?pvs=21), Kajima_OC (https://www.notion.so/Kajima_OC-24c32e888e42805c91f4d8a6e0b94db4?pvs=21), Kajima_OC (https://www.notion.so/Kajima_OC-24c32e888e4280c98a94ca8a81ebac53?pvs=21), Kajima_OC (https://www.notion.so/Kajima_OC-24c32e888e428023a60ec752f049e7da?pvs=21), Kajima_OC (https://www.notion.so/Kajima_OC-24c32e888e428027890bc387ef13ff5b?pvs=21), Kajima_OC (https://www.notion.so/Kajima_OC-24c32e888e4280399256ea5ac55090db?pvs=21), Kajima_OC (https://www.notion.so/Kajima_OC-24c32e888e4280b18866f41bfa864fff?pvs=21), Kajima_OC (https://www.notion.so/Kajima_OC-24c32e888e428011aefbfcb34a5b5579?pvs=21), Kajima_OC (https://www.notion.so/Kajima_OC-24c32e888e42809e8355d4a1ae23ba7d?pvs=21), Kajima_OC (https://www.notion.so/Kajima_OC-24c32e888e428055887dca16de6b67fa?pvs=21)",03/07/2025,Kajima OC
Spot 17,Ready,Falcon 36 (https://www.notion.so/Falcon-36-24532e888e428068af21d8c939a936d4?pvs=21),Morgan Office,"Serial: spot-BD-50220005,
Wi-Fi Password: 26yz5ia8y20c,
Admin Password:  vruor5j9rp46
New Params: Yes","January 23, 2026",Mix Demo Prep - Costa Mesa Warehouse (https://www.notion.so/Mix-Demo-Prep-Costa-Mesa-Warehouse-5a0d9efe0aca4da192ea2384a75a44b6?pvs=21),07/20/2025,
Spot 16,Ready,Falcon 39 (https://www.notion.so/Falcon-39-24532e888e428084a46de2beb03274d3?pvs=21),Hokkaido - JP,"Serial: spot-BD-50170019,
Wi-Fi Password: bx3vpeo5z4sz
Admin Password:  fAkzum-jufci8
New Params: Yes","January 21, 2026",,08/08/2025,
https://www.google.com/search?q=admin.fieldai.com&client=ubuntu-sn&hs=Uyt&sca_esv=dad87895c19efbc5&channel=fs&ei=AQ3CaOvLDuThp84P8Y_kCQ&ved=0ahUKEwir0MDXr8-PAxXk8MkDHfEHOQEQ4dUDCBI&uact=5&oq=admin.fieldai.com&gs_lp=Egxnd3Mtd2l6LXNlcnAiEWFkbWluLmZpZWxkYWkuY29tMgsQABiABBiRAhiKBTINEAAYgAQYsQMYQxiKBTIKEAAYgAQYQxiKBTIOEAAYgAQYsQMYgwEYyQMyCxAAGIAEGJIDGIoFMgsQABiABBiSAxiKBTIIEAAYgAQYsQMyCBAAGIAEGLEDMggQABiABBixAzILEAAYgAQYsQMYigVIpx1Q-AhYtxlwA3gAkAEAmAH0AaAB4ASqAQUwLjEuMrgBA8gBAPgBAZgCBqACkwXCAgkQABiwAxgNGB7CAhEQLhiABBiRAhjHARiKBRivAcICERAuGIAEGLEDGNEDGIMBGMcBwgIOEC4YgAQYsQMY0QMYxwHCAg4QLhiABBixAxiDARiKBcICCxAuGIAEGNEDGMcBwgIOEAAYgAQYsQMYgwEYigXCAg4QLhiABBjHARiOBRivAcICCBAuGIAEGLEDwgIIEC4YgAQY5QTCAgUQLhiABJgDAIgGAZAGCpIHBTMuMS4yoAf8O7IHBTAuMS4yuAf8BMIHBTItNS4xyAcn&sclient=gws-wiz-serppot 15,Ready,Falcon 23 (https://www.notion.so/Falcon-23-20832e888e4280c1ab86dd44829e0747?pvs=21),Falls Church - VA,"Serial: spot-BD-50060002,
Wi-Fi Password: jf4xwgb2qeqp
Admin Password: Finmaq-pubga1
New Params:Yes                         ","January 15, 2026",,10/14/2025,
Spot 14,Ready,No Payload (https://www.notion.so/No-Payload-21732e888e4280ac9201c9e9723a6857?pvs=21),Singapore,"Serial: spot-BD-41970022
Wi-Fi Password: dhcui7mr76zn
Admin Password: 0p0whejs7h0w
New Params: Not Yet","October 9, 2026",,10/14/2025,Singapore
Spot 13,Ready,Falcon 24 (https://www.notion.so/Falcon-24-20b32e888e4280b3b79aced9000d57da?pvs=21),Austin - TX,"Serial: spot-BD-40940001,
Wi-Fi Password: pwqzidngewko,
Admin Password: oa0dqx8u4hh5,
User Password: orangetangerine
New Params: Not Yet","August 5, 2026","Samsung Visit (https://www.notion.so/Samsung-Visit-c64a306ca96445e3bc8a997a29271dde?pvs=21), Samsung_Austin_5/15/2025 (https://www.notion.so/Samsung_Austin_5-15-2025-1f332e888e4280cd9882c61d8cae54c4?pvs=21), Samsung_Austin_6/5/2025 (https://www.notion.so/Samsung_Austin_6-5-2025-20732e888e428095882ef307af74c02f?pvs=21), Samsung_Austin_6/13/2025 (https://www.notion.so/Samsung_Austin_6-13-2025-20d32e888e4280b99160c6bf765d264d?pvs=21), Samsung_Austin_7/14/2025 (https://www.notion.so/Samsung_Austin_7-14-2025-22e32e888e428050ae1aefb2d6fba3e8?pvs=21), Samsung_Austin_7/15/2025 (https://www.notion.so/Samsung_Austin_7-15-2025-23132e888e428062b8d5e283c26eef91?pvs=21), Samsung_Austin_7/16/2025 (https://www.notion.so/Samsung_Austin_7-16-2025-23232e888e42800187a5ff644de81ef6?pvs=21), Samsung_Austin_7/17/2025 (https://www.notion.so/Samsung_Austin_7-17-2025-23332e888e4280b98735e338d78477c0?pvs=21), Samsung_Austin_7/18/2025 (https://www.notion.so/Samsung_Austin_7-18-2025-23432e888e428029ac7ace2b5a4e212c?pvs=21), Samsung_Austin_7/21/2025 (https://www.notion.so/Samsung_Austin_7-21-2025-23632e888e4280fbbc9bd70185d0df0c?pvs=21), Samsung_Austin_8/6/2025 (https://www.notion.so/Samsung_Austin_8-6-2025-24632e888e4280728cb4f02bcdf829be?pvs=21), Samsung_Austin_8/7/2025 (https://www.notion.so/Samsung_Austin_8-7-2025-24832e888e42802a891ac64171887921?pvs=21), Samsung_Austin_8/8/2025 (https://www.notion.so/Samsung_Austin_8-8-2025-24932e888e4280288b96c2ee8b24fb2a?pvs=21), Samsung_Austin_8/11/2025 (https://www.notion.so/Samsung_Austin_8-11-2025-24c32e888e42808fa146f5f5e7c93dc0?pvs=21), Samsung_Austin_8/12/2025 (https://www.notion.so/Samsung_Austin_8-12-2025-24d32e888e42801ca367c4b4016eeb6f?pvs=21), Samsung_Austin_8/13/2025 (https://www.notion.so/Samsung_Austin_8-13-2025-24e32e888e428017b877d9204d7b533f?pvs=21), Samsung_Austin_8/15/2025 (https://www.notion.so/Samsung_Austin_8-15-2025-25032e888e42805eb76ff5a3c4d3ba7d?pvs=21), Samsung_Austin_8/18/2025 (https://www.notion.so/Samsung_Austin_8-18-2025-25332e888e4280eb9272fb8370762d77?pvs=21), Samsung_Austin_8/19/2025 (https://www.notion.so/Samsung_Austin_8-19-2025-25432e888e4280729449c2463f1b055a?pvs=21), Samsung_Austin_8/20/2025 (https://www.notion.so/Samsung_Austin_8-20-2025-25532e888e428015a866fde8a5d5e6f0?pvs=21), Samsung_Austin_8/21/2025 (https://www.notion.so/Samsung_Austin_8-21-2025-25632e888e428030b1e9fc5dcefed381?pvs=21), Samsung_Austin_8/22/2025 (https://www.notion.so/Samsung_Austin_8-22-2025-25732e888e4280dd89ecced5cbb22063?pvs=21), Samsung_Austin_8/25/2025 (https://www.notion.so/Samsung_Austin_8-25-2025-25832e888e4280379fc2da9b5633722f?pvs=21), Samsung_Austin_8/26/2025 (https://www.notion.so/Samsung_Austin_8-26-2025-25b32e888e42804aa16dd5121cc5a3fe?pvs=21), Samsung_Austin_8/27/2025 (https://www.notion.so/Samsung_Austin_8-27-2025-25c32e888e4280b2a2bdc9486058181a?pvs=21), Samsung_Austin_8/28/2025 (https://www.notion.so/Samsung_Austin_8-28-2025-25d32e888e4280d8a442de70b40935d3?pvs=21), Samsung_Austin_8/29/2025 (https://www.notion.so/Samsung_Austin_8-29-2025-25e32e888e42806b9e8ac720b5308d18?pvs=21), Samsung_Austin_9/3/2025 (https://www.notion.so/Samsung_Austin_9-3-2025-26332e888e4280a9af9beb1690dd9329?pvs=21), Samsung_Austin_9/4/2025 (https://www.notion.so/Samsung_Austin_9-4-2025-26432e888e4280ec9c52f3c648713a6b?pvs=21), Samsung_Austin_9/5/2025 (https://www.notion.so/Samsung_Austin_9-5-2025-26532e888e4280578906d6f75b3c3f93?pvs=21), Samsung_Austin_9/8/2025 (https://www.notion.so/Samsung_Austin_9-8-2025-26832e888e4280888f18c7ba3864de93?pvs=21), Samsung_Austin_9/9/2025 (https://www.notion.so/Samsung_Austin_9-9-2025-26932e888e4280c79796e56906f4f7e1?pvs=21), Samsung_Austin_9/10/2025 (https://www.notion.so/Samsung_Austin_9-10-2025-26a32e888e42802cae09dd32e29db770?pvs=21), Samsung_Austin_9/11/2025 (https://www.notion.so/Samsung_Austin_9-11-2025-26b32e888e42809580bae621e4a3c2d4?pvs=21), Samsung_Austin_9/12/2025 (https://www.notion.so/Samsung_Austin_9-12-2025-26c32e888e4280ab84f1edda22d4d7ba?pvs=21), Samsung_Austin_9/15/2025 (https://www.notion.so/Samsung_Austin_9-15-2025-26e32e888e4280f1ba4ac40f9e160dac?pvs=21), Samsung_Austin_9/16/2025 (https://www.notion.so/Samsung_Austin_9-16-2025-27032e888e4280b4a999d4452f0acff0?pvs=21), Samsung_Austin_9/17/2025 (https://www.notion.so/Samsung_Austin_9-17-2025-27132e888e428063a1a0d8e5c1f047ab?pvs=21), Samsung_Austin_9/18/2025 (https://www.notion.so/Samsung_Austin_9-18-2025-27332e888e4280ccbee5c2fffe842071?pvs=21), Samsung_Austin_9/22/2025 (https://www.notion.so/Samsung_Austin_9-22-2025-27732e888e42806faa85c935b8302b1a?pvs=21), Samsung_Austin_9/24/2025 (https://www.notion.so/Samsung_Austin_9-24-2025-27732e888e428088963cc693d47ff8b1?pvs=21), Samsung_Austin_9/25/2025 (https://www.notion.so/Samsung_Austin_9-25-2025-27932e888e428084872fcb48dc5bb40a?pvs=21), Samsung_Austin_9/26/2025 (https://www.notion.so/Samsung_Austin_9-26-2025-27a32e888e4280dd8f2ffe64676a8dc3?pvs=21), Samsung_Austin_10/16/2025 (https://www.notion.so/Samsung_Austin_10-16-2025-28e32e888e4280449615e7309f1a3728?pvs=21)",10/06/2024,Samsung
Spot 12,Ready,Falcon 2 (https://www.notion.so/Falcon-2-11832e888e4280a193edd1a25d29f5ee?pvs=21),Boise - ID,"Serial: spot-BD-41080001,
Wi-Fi Password: ymrhtsbeswq8,
Admin Password: 23361!Tangerine
New Params: Not Yet","September 5, 2026","Exyte_Boise (https://www.notion.so/Exyte_Boise-23132e888e42809eb86af729da7ec8b6?pvs=21), Exyte_Boise (https://www.notion.so/Exyte_Boise-23432e888e4280c3a97eec7c6a7df188?pvs=21), Exyte_Boise (https://www.notion.so/Exyte_Boise-23832e888e42806f98f3ce6aab6e7dac?pvs=21), Exyte_Boise (https://www.notion.so/Exyte_Boise-23832e888e42803fa040e6e3112f1e8d?pvs=21), Exyte_Boise (https://www.notion.so/Exyte_Boise-23832e888e4280e294cfc39758d70cdf?pvs=21)",10/06/2024,Exyte
Spot 11,Ready,Falcon 17 (https://www.notion.so/Falcon-17-1d532e888e42805291f2d385af120699?pvs=21),Boise - ID,"Serial: spot-BD-40990019,
Wi-Fi Password: 6xrofnj496ov,
Admin Password: 23361!Tangerine
New Params: Not Yet","September 5, 2026","Exyte_Boise (https://www.notion.so/Exyte_Boise-23132e888e42809eb86af729da7ec8b6?pvs=21), Exyte_Boise (https://www.notion.so/Exyte_Boise-23432e888e4280c3a97eec7c6a7df188?pvs=21), Exyte_Boise (https://www.notion.so/Exyte_Boise-23832e888e42806f98f3ce6aab6e7dac?pvs=21), Exyte_Boise (https://www.notion.so/Exyte_Boise-23832e888e42803fa040e6e3112f1e8d?pvs=21), Exyte_Boise (https://www.notion.so/Exyte_Boise-23832e888e4280e294cfc39758d70cdf?pvs=21)",10/06/2024,Exyte
Spot 10,Ready,Falcon 25 (https://www.notion.so/Falcon-25-20e32e888e42806fa050da9204846a51?pvs=21),Plano - TX,"Serial: spot-BD-41100024
Wi-Fi Password: 6m98w4qafpjm
Admin Password: orangetangerine
New Params: Yes","August 5, 2026","STO_Datacenter_Texas (https://www.notion.so/STO_Datacenter_Texas-1d832e888e4280a68e55c43a09d31810?pvs=21), Samsung_Austin (https://www.notion.so/Samsung_Austin-23932e888e4280e7b355e70bc341a3f3?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-23e32e888e42804dac55f19b7981c4fa?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-23e32e888e4280fc8900c46ec3eb619d?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-23e32e888e4280f3a122f2990620a47d?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-23e32e888e42809f9965c3683d22a280?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-23e32e888e4280edb201d92e08f0c27f?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-23e32e888e428066a688e8fe08fe6339?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-23e32e888e42804daa49d9a7402e39cb?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-23e32e888e42807c9117fb1048e7bc35?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-24c32e888e4280778742c4820a0f5b2f?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-24c32e888e4280968840fa0c5f2e3941?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-24c32e888e42802886d8ecd32df33b29?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-24c32e888e4280cd921cc6e270381c86?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-24c32e888e4280a09f05fdbe054b4038?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-24c32e888e4280efad33fcb4d3684100?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-25b32e888e4280d3ad76cb60c00c0a1c?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-25b32e888e428056b9a3c5596e89645e?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-25b32e888e4280179d8ee7b5be7a9517?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-25b32e888e42806d822ee0add30c0e0b?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-26232e888e4280a2ab7dd5d048ba9143?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-26232e888e428084933fcb7c1f08d03f?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-26232e888e4280628bece582a1faaf17?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-26f32e888e42805982d9deb1e7a72720?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-26f32e888e4280668c91feb73939f2ed?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-26f32e888e4280988137de4674d4fd75?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-26f32e888e42805facade9a9e3346512?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-26f32e888e4280208abef086e08ebe78?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-26f32e888e428061b4badcfeb9906dea?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-26f32e888e428083af8ad0a80833435e?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-26f32e888e42806da90fe2b0ffcb3ae1?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-26f32e888e42808fbaf9f8c6106e1aa4?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-27d32e888e42803eb06af330850dc6de?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-27d32e888e42805cb716eab74144eee6?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-27d32e888e428077ae8de0c14cfa4c77?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-28432e888e42804faf54ed4050a986e9?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-28432e888e428007b970ffcbdb094c5d?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-28432e888e4280a0860fed0f6feb4b3f?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-29232e888e428041b604d84be83f34e3?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-29232e888e4280968ec4d7e5030fa862?pvs=21), STO_Austin (https://www.notion.so/STO_Austin-29232e888e4280429e57c355f1368890?pvs=21)",07/11/2025,STO
Spot 9,Ready,Falcon 12 (https://www.notion.so/Falcon-12-16132e888e428054a3b6fdc4756a7ca8?pvs=21),Austin - TX,"Serial: spot-BD-41690022
Wi-Fi Password: j4kwt99nzsnd
Admin Password: orangetangerine
New Params: Yes","September 15, 2026","Whiting Turner 08-12 (https://www.notion.so/Whiting-Turner-08-12-6f3f3e6abf22467b981df666d85791a9?pvs=21), Procore_Austin (https://www.notion.so/Procore_Austin-26332e888e4280648557e13b76246672?pvs=21), Procore_Austin (https://www.notion.so/Procore_Austin-26332e888e42802c8413f80b1505ba1b?pvs=21), Procore_Austin (https://www.notion.so/Procore_Austin-26332e888e428069920dc8fa801d0f71?pvs=21), Procore_Austin (https://www.notion.so/Procore_Austin-26332e888e428081bf2ef0680f8c0195?pvs=21), Procore_Austin (https://www.notion.so/Procore_Austin-26332e888e42800ea1e7ed98aa747a50?pvs=21), Procore_Austin (https://www.notion.so/Procore_Austin-26332e888e4280019907def5c4fbf280?pvs=21), Procore_Austin (https://www.notion.so/Procore_Austin-26f32e888e4280d195f2ca51e50b3ce3?pvs=21), Procore_Austin (https://www.notion.so/Procore_Austin-26f32e888e4280e5a7aaee43adbdc74f?pvs=21), Procore_Austin (https://www.notion.so/Procore_Austin-26f32e888e428008821fce0779154415?pvs=21), Procore_Austin (https://www.notion.so/Procore_Austin-26f32e888e4280d89b3af966127179e2?pvs=21), Procore_Austin (https://www.notion.so/Procore_Austin-26f32e888e42805b9ee6e92fba14702f?pvs=21), Procore_Austin (https://www.notion.so/Procore_Austin-26f32e888e4280869824f8af2e812f7e?pvs=21), Procore_Austin (https://www.notion.so/Procore_Austin-27d32e888e4280538d8ed81846abf8ec?pvs=21), Procore_Austin (https://www.notion.so/Procore_Austin-27d32e888e4280df8435c16390417742?pvs=21), Procore_Austin (https://www.notion.so/Procore_Austin-28432e888e428022b222fb887080bd2f?pvs=21), Procore_Austin (https://www.notion.so/Procore_Austin-28432e888e4280a383b3fc881b2e94af?pvs=21), Procore_Austin (https://www.notion.so/Procore_Austin-29232e888e4280ee9614fc9bbe4c730b?pvs=21), Procore_Austin (https://www.notion.so/Procore_Austin-29232e888e4280298ba7f53225f0413b?pvs=21)",09/16/2024,Pro Core
